ID_code;id_name;Sartoretto_TS_group;Sartoretto_TS_group_etendu;Sartoretto_CS_group;Sartoretto_CS_group_etendu;Taxon_level;ID_major_category;major_category;gender_name;Species;Gender;Family;Order;Class;Phylum;Not_concerned;major_builders_old;Builders_all;Builders_nobryo;LSP;PSP;MSP;AXSP;COSP
SPLA;Spongia lamella;;;intermediate;intermediate;Species;S;Sponge;Spongia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SPO;Sponges;;;basal;basal;Phylum;S;Sponge;NC;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
SPOF;Spongia officinalis;;;basal;basal;Species;S;Sponge;Spongia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SPSO;Spatoglossum solieri;;;;intermediate;Species;BM;Brown macroalgae;Spatoglossum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STAF;Stylocidaris affinis;;;;intermediate;Species;E;Echinids;Stylocidaris;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SUSP;Suberites sp;;;basal;basal;Gender;S;Sponge;Suberites;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SWO;Sedentary worms;;;;basal;Phylum;W;Sedentary worms;NC;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
TAPE;Tape;;;;;NC;TWS;Tape, wand, shadow;NC;0;0;0;0;0;0;NC;0;0;0;0;0;0;0;0
TEGE;Terpios gelatinosa;;;basal;basal;Species;S;Sponge;Terpios;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TUAV;Turbicellepora avicularis;;;intermediate;intermediate;Species;EBR;Erected bryozoan;Turbicellepora;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
UNK;Unknowns;;;;;NC;U;Unknowns;NC;0;0;0;0;0;0;NC;0;0;0;0;0;0;0;0
VAMA;Valonia macrophysa;;;;basal;Species;GM;Green macroalgae;Valonia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VATU;Valkeria tuberosa;;;intermediate;intermediate;Species;EBR;Erected bryozoan;Valonia;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
VAUT;Valonia utricularis;;;;basal;Species;GM;Green macroalgae;Valonia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VAVE;Valonia ventricosa;;;;basal;Species;GM;Green macroalgae;Codium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VERM;Vermetus sp;;;;basal;Gender;W;Sedentary worms;Vermetus;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0
WAND;Wand;;;;;NC;TWS;Tape, wand, shadow;NC;0;0;0;0;0;0;NC;0;0;0;0;0;0;0;0
WOSE;Womersleyella setacea;;;intermediate;intermediate;Species;EMA;Erected red macroalgae;Womersleyella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZATY;Zanardinia typus;1;1;;basal;Species;BM;Brown macroalgae;Zanardinia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZO;Zoantharia;;;basal;basal;Class;Z;Zoantharia;NC;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
